X Lag Time,Record 1: JJ1_10mg_400rpm_10-00min_PF_No1_230817 1,Record 2: JJ1_10mg_400rpm_10-00min_PF_No1_230817 2,Record 3: JJ1_10mg_400rpm_10-00min_PF_No1_230817 3,X Intensity,Record 1: JJ1_10mg_400rpm_10-00min_PF_No1_230817 1,Record 2: JJ1_10mg_400rpm_10-00min_PF_No1_230817 2,Record 3: JJ1_10mg_400rpm_10-00min_PF_No1_230817 3
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
