X Lag Time,Record 1: H2O_00mg_300rpm_20-00min_PM_No1_230829 1,Record 2: H2O_00mg_300rpm_20-00min_PM_No1_230829 2,Record 3: H2O_00mg_300rpm_20-00min_PM_No1_230829 3,X Intensity,Record 1: H2O_00mg_300rpm_20-00min_PM_No1_230829 1,Record 2: H2O_00mg_300rpm_20-00min_PM_No1_230829 2,Record 3: H2O_00mg_300rpm_20-00min_PM_No1_230829 3
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
